x = (1260) | y = [940] 		y = 0
x = (1280) | y = [952] 
x = (1301) | y = [964] 
x = (1322) | y = [976] 
x = (1343) | y = [988] 
x = (1363) | y = [1000] 
x = (1384) | y = [1012] 
x = (1405) | y = [1024] 
x = (1426) | y = [1036] 
x = (1447) | y = [1048] 
x = (1467) | y = [1060] 
x = (1488) | y = [1072] 
x = (1509) | y = [1084] 
x = (1530) | y = [1096] 
x = (1550) | y = [1108] 
x = (1571) | y = [1120] 
x = (1592) | y = [1132] 
x = (1613) | y = [1144] 
x = (1634) | y = [1156]
 
x = (1239) | y = [952] 		y = 1
x = (1260) | y = [964] 
x = (1280) | y = [976] 
x = (1301) | y = [988] 
x = (1322) | y = [1000] 
x = (1343) | y = [1012] 
x = (1363) | y = [1024] 
x = (1384) | y = [1036] 
x = (1405) | y = [1048] 
x = (1426) | y = [1060] 
x = (1447) | y = [1072] 
x = (1467) | y = [1084] 
x = (1488) | y = [1096] 
x = (1509) | y = [1108] 
x = (1530) | y = [1120] 
x = (1550) | y = [1132] 
x = (1571) | y = [1144] 
x = (1592) | y = [1156] 
x = (1613) | y = [1168]
 
x = (1218) | y = [964] 		y = 2
x = (1239) | y = [976] 
x = (1260) | y = [488] 
x = (1280) | y = [500] 
x = (1301) | y = [1012] 
x = (1322) | y = [1024] 
x = (1343) | y = [536] 
x = (1363) | y = [548] 
x = (1384) | y = [1060] 
x = (1405) | y = [1072] 
x = (1426) | y = [1084] 
x = (1447) | y = [596] 
x = (1467) | y = [608] 
x = (1488) | y = [620] 
x = (1509) | y = [632] 
x = (1530) | y = [644] 
x = (1550) | y = [1156] 
x = (1571) | y = [1168] 
x = (1592) | y = [1180]
 
x = (1197) | y = [976] 		y = 3;
x = (1218) | y = [988] 
x = (1239) | y = [500] 
x = (1260) | y = [512] 
x = (1280) | y = [1024] 
x = (1301) | y = [1036] 
x = (1322) | y = [548] 
x = (1343) | y = [560] 
x = (1363) | y = [1072] 
x = (1384) | y = [1084] 
x = (1405) | y = [1096] 
x = (1426) | y = [1108] 
x = (1447) | y = [1120] 
x = (1467) | y = [1132] 
x = (1488) | y = [1144] 
x = (1509) | y = [656] 
x = (1530) | y = [668] 
x = (1550) | y = [1180] 
x = (1571) | y = [1192]
 
x = (1176) | y = [988] 		y = 4
x = (1197) | y = [1000] 
x = (1218) | y = [512] 
x = (1239) | y = [524] 
x = (1260) | y = [1036] 
x = (1280) | y = [1048] 
x = (1301) | y = [560] 
x = (1322) | y = [572] 
x = (1343) | y = [1084] 
x = (1363) | y = [1096] 
x = (1384) | y = [1108] 
x = (1405) | y = [1120] 
x = (1426) | y = [1132] 
x = (1447) | y = [1144] 
x = (1467) | y = [1156] 
x = (1488) | y = [668] 
x = (1509) | y = [680] 
x = (1530) | y = [1192] 
x = (1550) | y = [1204]
 
x = (1156) | y = [1000] 	y = 5
x = (1176) | y = [1012] 
x = (1197) | y = [524] 
x = (1218) | y = [536] 
x = (1239) | y = [548] 
x = (1260) | y = [560] 
x = (1280) | y = [572] 
x = (1301) | y = [584] 
x = (1322) | y = [1096] 
x = (1343) | y = [1108] 
x = (1363) | y = [1120] 
x = (1384) | y = [1132] 
x = (1405) | y = [644] 
x = (1426) | y = [656] 
x = (1447) | y = [668] 
x = (1467) | y = [680] 
x = (1488) | y = [1192] 
x = (1509) | y = [1204] 
x = (1530) | y = [1216] 

x = (1135) | y = [1012] 	y = 6
x = (1156) | y = [1024] 
x = (1176) | y = [1036] 
x = (1197) | y = [548] 
x = (1218) | y = [560] 
x = (1239) | y = [572] 
x = (1260) | y = [584] 
x = (1280) | y = [596] 
x = (1301) | y = [1108] 
x = (1322) | y = [1120] 
x = (1343) | y = [1132] 
x = (1363) | y = [644] 
x = (1384) | y = [656] 
x = (1405) | y = [1168] 
x = (1426) | y = [1180] 
x = (1447) | y = [1192] 
x = (1467) | y = [1204] 
x = (1488) | y = [1216] 
x = (1509) | y = [1228] 

x = (1114) | y = [1024] 	y = 7
